Rank,Name,City,Position,Points,Games,Minutes,Rebounds,Assists,Steal,Block
136,Moritz Wagner,Orl,F-C,27.9,30,18.8,16.4,1.4,0.8,0.4
137,Georges Niang,Atl,F,31.8,20,24.6,9.5,1.8,0.5,0.3
138,Scoot Henderson,Por,G,21.1,66,26.7,20.5,5.1,1,0.2
139,Santi Aldama,Mem,F-C,24.2,57,25.1,8.7,2.9,0.8,0.5
140,Malcolm Brogdon,Was,G,32.3,24,23.5,13.7,4.1,0.5,0.2
141,Keegan Murray,Sac,F,24.6,70,34.7,7.1,1.4,0.8,0.9
142,Jaden McDaniels,Min,F,24.5,73,32,9.8,2.1,1.4,0.9
143,Khris Middleton,Mil,F,33.6,23,23.2,14.9,4.4,0.7,0.2
144,Kai Jones,Dal,C-F,24.2,6,23.6,9.4,1,0.3,0.8
145,Keldon Johnson,San,F-G,25.5,69,23.8,8.6,1.6,0.7,0.3
146,D'Angelo Russell,Lal,G,29.1,29,26.3,13.8,4.7,0.8,0.1
147,Bilal Coulibaly,Was,G,20.7,59,33,16.7,3.4,1.3,0.7
148,Ayo Dosunmu,Chi,G,25.2,46,30.3,13.3,4.5,0.9,0.4
149,Daniel Gafford,Dal,F-C,26.5,51,21.9,14.4,1.4,0.4,1.9
150,Tari Eason,Hou,F,23.9,51,25.3,10.4,1.4,1.8,0.9
151,Jabari Smith Jr.,Hou,F,21.9,52,30.3,9.7,1,0.4,0.8
152,Ty Jerome,Cle,G-F,27.7,67,19.7,12.8,3.3,1.1,0
153,Zaccharie Risacher,Atl,F,20,66,24.6,11.1,1.3,0.7,0.5
154,Daeqwon Plowden,Atl,G-F,26.6,2,16.4,8.7,0,0,0
155,Bogdan Bogdanovic,Lac,G,32.6,20,25.7,13.4,3.2,0.7,0.2
156,Moses Brown,Dal,C,25.5,4,18.3,14.5,0.5,1,0.8
157,Jalen Duren,Det,C,21.4,70,26,20.2,2.6,0.7,1.1
158,Aaron Wiggins,Okc,G,26.2,70,22.7,8.3,1.7,0.8,0.3
159,Donte DiVincenzo,Min,G,28.2,54,26.4,13.4,3.7,1.2,0.2
160,Harrison Barnes,San,F,32.8,72,27,6.7,1.7,0.4,0.2
161,Corey Kispert,Was,F,26.1,61,26.3,10.2,1.7,0.4,0.2
162,Jeremy Sochan,San,F,21.9,52,25.3,15,2.4,0.8,0.5
163,Max Christie,Dal,G,22.1,24,31.7,13.8,2.9,1,0.3
164,Tre Jones,Chi,G,25.2,18,25.3,8.8,4.9,1.1,0.3
165,Aaron Nesmith,Ind,G-F,25.4,37,24.8,9.9,1.4,0.7,0.4
166,Jonas Valanciunas,Was,C,32.9,49,20,17.2,2.2,0.4,0.6
167,Isaiah Hartenstein,Okc,C-F,26.9,51,28.3,17.2,3.9,0.8,1.1
168,Jared Rhoden,Tor,G,25.6,6,24.5,10.3,1,1,0.3
169,Buddy Hield,Gol,G,32.3,72,23,11,1.7,0.9,0.3
170,Terry Rozier,Mia,G,31,59,26.6,11.1,2.7,0.6,0.2
171,Walker Kessler,Uta,C,23.7,57,30,17.3,1.7,0.6,2.4
172,Toumani Camara,Por,F,24.9,71,32.8,13.8,2.2,1.5,0.7
173,Duncan Robinson,Mia,F,30.9,68,24.4,11.7,2.5,0.6,0.1
174,Gary Trent Jr.,Mil,G,26.2,65,25.3,6.2,1.2,1,0.1
175,Spencer Dinwiddie,Dal,G,32,72,26.5,12.8,4.1,0.9,0.2
176,Rudy Gobert,Min,C,32.8,63,32.7,16.5,1.8,0.7,1.5
177,Jrue Holiday,Bos,G,34.8,56,30.5,12.3,3.8,1.1,0.5
178,Jordan Hawkins,Nor,G,22.9,55,23.5,9.6,1.2,0.5,0.4
179,Guerschon Yabusele,Phi,F,29.3,67,26.8,13.8,2.1,0.8,0.3
180,Kelly Olynyk,Nor,F-C,33.9,15,26,22.4,4,0.8,0.6
181,Nikola Jovic,Mia,F,21.8,46,25.1,13.7,2.8,0.8,0.3
182,Brandon Boston Jr.,Nor,G,23.3,42,23.6,12,2.2,1.3,0.2
183,Khris Middleton,Was,F,33.6,14,22.1,13.1,3.4,1.3,0.2
184,Jaylen Wells,Mem,F,21.6,73,25.9,9.5,1.7,0.5,0.1
185,Brandin Podziemski,Gol,G,22.1,54,25.9,10.5,3.4,1.1,0.2
186,Dennis Schroder,Gol,G,31.5,24,26.2,16,4.4,1,0.1
187,Obi Toppin,Ind,F,27.1,70,19.5,10.1,1.6,0.6,0.3
188,Grant Williams,Cha,F,26.3,16,29.9,18.5,2.3,1.1,0.8
189,Grayson Allen,Pho,G,29.5,55,24.4,12.6,2.1,0.9,0.3
190,Derrick Jones Jr.,Lac,F,28.1,67,24.6,9.8,0.8,1,0.4
191,Dorian Finney-Smith,Bro,F,31.9,20,29,10.2,1.6,0.9,0.6
192,Tyus Jones,Pho,G,28.9,72,27.8,12.3,5.6,0.9,0.1
193,Dennis Schroder,Det,G,31.5,20,22,11.9,4.9,0.6,0.3
194,Ziaire Williams,Bro,F,23.5,57,24.9,10.9,1.4,1,0.4
195,Herbert Jones,Nor,F,26.5,20,32.4,16.9,3.3,1.9,0.5
196,Nic Claxton,Bro,C,25.9,64,27.4,13.6,2.3,0.9,1.5
197,Tim Hardaway Jr.,Det,G-F,33,68,27.7,7.1,1.6,0.5,0.1
198,Justin Edwards,Phi,F,21.3,39,26.1,10.3,1.5,1,0.4
199,Keon Johnson,Bro,G,23,71,24.2,12,2.1,1.1,0.4
200,Nick Richards,Pho,C,27.3,30,22.8,16.2,0.7,0.1,0.9
201,Quentin Grimes,Dal,G,24.9,47,22.8,14.3,2.1,0.7,0.2
202,Andrew Nembhard,Ind,G-F,25.2,57,29.1,18.2,5.1,1.2,0.2
203,De'Anthony Melton,Gol,G,26.8,6,20.2,15.6,2.8,1.2,0.3
204,Caris LeVert,Cle,G,30.6,38,23.8,14.6,3.7,0.9,0.5
205,Brice Sensabaugh,Uta,F,21.4,63,18.9,15.7,1.4,0.6,0.1
206,Marcus Smart,Was,G,31.1,12,19,15.3,2.8,1.2,0.3
207,N'Faly Dante,Hou,C,23.4,1,18.6,13.7,1,0,2
208,Moses Moody,Gol,G,22.8,64,21.8,7.8,1.3,0.7,0.4
209,Ochai Agbaji,Tor,G,24.9,59,26.9,9,1.6,0.8,0.5
210,Terance Mann,Atl,G-F,28.4,21,22.8,9.9,2.1,0.5,0.2
211,Amir Coffey,Lac,G-F,27.8,69,25,7.8,1.1,0.6,0.1
212,Chris Boucher,Tor,F,32.2,50,17.2,7.3,0.7,0.5,0.5
213,Bogdan Bogdanovic,Atl,G,32.6,24,24.9,14.2,2,0.8,0.3
214,Luguentz Dort,Okc,G,25.9,65,29.2,7.7,1.7,1.1,0.6
215,Trendon Watford,Bro,G-F,24.4,35,19.6,18.1,2.4,0.7,0.3
216,Davion Mitchell,Mia,G,26.6,22,31.5,18.8,4.8,1.1,0.3
217,Jared Butler,Phi,G,24.6,19,22.6,14.9,4.4,0.8,0.3
218,Isaiah Joe,Okc,G,25.7,66,21.2,6.2,1.5,0.6,0.1
219,Kevin Porter Jr.,Mil,G-F,24.9,21,17.8,20,3.3,1.1,0.1
220,Nick Smith Jr.,Cha,G,20.9,53,22.6,13,2.2,0.3,0.1
221,Jose Alvarado,Nor,G,27,49,23.9,12.6,4.7,1.4,0.2
222,Scotty Pippen Jr.,Mem,G,24.4,71,20.9,19,4.4,1.4,0.4
223,Julian Champagnie,San,F,23.7,72,23.1,10.2,1.3,0.8,0.4
224,Cole Anthony,Orl,G,24.9,61,18.6,16.3,2.9,0.7,0.4
225,Ausar Thompson,Det,G-F,22.2,51,21.4,16.4,2.2,1.7,0.5
226,Max Strus,Cle,G-F,29,44,25.1,11,3,0.6,0.2
